Aux out [V]	Aux in [V]	PDH out [a.u.]
1.3362E-1	4.7564E-1	9.9600E+2
1.3397E-1	4.7370E-1	3.3600E+2
1.3432E-1	4.7102E-1	2.7700E+2
1.3468E-1	4.7175E-1	2.7000E+2
1.3503E-1	4.7054E-1	2.3500E+2
1.3526E-1	4.6932E-1	-1.1000E+2
1.3562E-1	4.7005E-1	8.2400E+2
1.3597E-1	4.6811E-1	6.4000E+1
1.3632E-1	4.6616E-1	8.5000E+1
1.3656E-1	4.6592E-1	2.7000E+2
1.3691E-1	4.6568E-1	-1.6900E+2
1.3726E-1	4.6471E-1	6.4200E+2
1.3762E-1	4.6228E-1	2.6500E+2
1.3797E-1	4.6228E-1	1.9900E+2
1.3820E-1	4.6179E-1	1.0000E+0
1.3856E-1	4.6228E-1	-1.1800E+2
1.3891E-1	4.5961E-1	3.7700E+2
1.3926E-1	4.6009E-1	5.8600E+2
1.3962E-1	4.5790E-1	-3.8100E+2
1.3985E-1	4.5912E-1	1.5700E+2
1.4020E-1	4.5669E-1	-1.7300E+2
1.4056E-1	4.5548E-1	1.6500E+2
1.4091E-1	4.5596E-1	1.8200E+2
1.4126E-1	4.5523E-1	2.9100E+2
1.4150E-1	4.5426E-1	5.3700E+2
1.4185E-1	4.5450E-1	6.4700E+2
1.4221E-1	4.5329E-1	-1.4500E+2
1.4244E-1	4.5402E-1	3.4900E+2
1.4279E-1	4.5280E-1	3.6600E+2
1.4315E-1	4.5207E-1	4.3600E+2
1.4350E-1	4.5183E-1	-7.6100E+2
1.4385E-1	4.4940E-1	3.3400E+2
1.4409E-1	4.4940E-1	2.5800E+2
1.4444E-1	4.5037E-1	2.1700E+2
1.4479E-1	4.4819E-1	5.4700E+2
1.4515E-1	4.4794E-1	-7.4000E+1
1.4550E-1	4.4673E-1	-4.5800E+2
1.4573E-1	4.4600E-1	5.4000E+1
1.4609E-1	4.4624E-1	5.9900E+2
1.4644E-1	4.4624E-1	4.4000E+1
1.4679E-1	4.4600E-1	-6.0000E+0
1.4715E-1	4.4673E-1	-1.5600E+2
1.4738E-1	4.4673E-1	-1.0460E+3
1.4773E-1	4.4673E-1	-1.3300E+2
1.4809E-1	4.4649E-1	2.4900E+2
1.4844E-1	4.4673E-1	3.8000E+1
1.4868E-1	4.4649E-1	1.5400E+2
1.4903E-1	4.4454E-1	9.8500E+2
1.4938E-1	4.4406E-1	6.1000E+2
1.4974E-1	4.4139E-1	1.1140E+3
1.5009E-1	4.4187E-1	6.6800E+2
1.5032E-1	4.3896E-1	1.1360E+3
1.5068E-1	4.3944E-1	6.7300E+2
1.5103E-1	4.3628E-1	-1.7300E+2
1.5138E-1	4.3531E-1	2.9600E+2
1.5162E-1	4.3313E-1	6.1400E+2
1.5197E-1	4.3458E-1	4.2800E+2
1.5232E-1	4.3191E-1	-1.0100E+2
1.5268E-1	4.3070E-1	3.8200E+2
1.5291E-1	4.3215E-1	3.9300E+2
1.5326E-1	4.3021E-1	5.6900E+2
1.5362E-1	4.2827E-1	4.7800E+2
1.5397E-1	4.2972E-1	4.2100E+2
1.5432E-1	4.2900E-1	7.0600E+2
1.5456E-1	4.2681E-1	4.1300E+2
1.5491E-1	4.2657E-1	7.1800E+2
1.5526E-1	4.2511E-1	1.8200E+2
1.5562E-1	4.2608E-1	6.8900E+2
1.5597E-1	4.2584E-1	6.3500E+2
1.5621E-1	4.2317E-1	1.6300E+2
1.5656E-1	4.2511E-1	-4.1700E+2
1.5691E-1	4.2389E-1	2.7100E+2
1.5727E-1	4.2122E-1	3.2000E+2
1.5762E-1	4.2244E-1	-2.0000E+1
1.5785E-1	4.2292E-1	-4.8100E+2
1.5821E-1	4.2098E-1	3.9000E+1
1.5856E-1	4.2438E-1	-3.6900E+2
1.5891E-1	4.2438E-1	-3.1000E+1
1.5915E-1	4.2608E-1	-1.0970E+3
1.5950E-1	4.2730E-1	-1.1290E+3
1.5985E-1	4.2900E-1	-8.2500E+2
1.6021E-1	4.3313E-1	-1.9700E+2
1.6044E-1	4.3313E-1	-2.2000E+2
1.6079E-1	4.3094E-1	6.3600E+2
1.6115E-1	4.2948E-1	9.0600E+2
1.6150E-1	4.2511E-1	1.3680E+3
1.6185E-1	4.2122E-1	1.8010E+3
1.6209E-1	4.1782E-1	7.8700E+2
1.6244E-1	4.1636E-1	5.6000E+2
1.6279E-1	4.1466E-1	1.8400E+2
1.6315E-1	4.1296E-1	8.5000E+2
1.6350E-1	4.1126E-1	4.2500E+2
1.6374E-1	4.1005E-1	-1.4400E+2
1.6409E-1	4.0908E-1	1.3100E+2
1.6444E-1	4.1053E-1	-1.3200E+2
1.6479E-1	4.0543E-1	2.3300E+2
1.6503E-1	4.0737E-1	4.4400E+2
1.6538E-1	4.0567E-1	-2.1800E+2
1.6574E-1	4.0495E-1	7.3600E+2
1.6609E-1	4.0470E-1	1.1900E+2
1.6644E-1	4.0324E-1	1.6600E+2
1.6668E-1	4.0324E-1	-8.8000E+1
