Aux out [V]	Aux in [V]	PDH out [a.u.]
-4.1588E-3	6.1533E-1	-5.5800E+2
-2.2763E-3	6.1387E-1	-1.5700E+2
-3.9384E-4	6.1484E-1	-6.9600E+2
1.7240E-3	6.1460E-1	-1.8600E+2
3.6065E-3	6.1533E-1	-9.6000E+1
5.4890E-3	6.1484E-1	-1.4000E+2
7.3714E-3	6.1508E-1	-4.1200E+2
9.2539E-3	6.1460E-1	-1.5000E+2
1.1372E-2	6.1362E-1	2.1600E+2
1.3254E-2	6.1362E-1	9.8000E+1
1.5137E-2	6.1362E-1	1.3000E+1
1.7019E-2	6.1435E-1	-5.1900E+2
1.8902E-2	6.1557E-1	-1.6200E+2
2.0784E-2	6.1508E-1	-3.0200E+2
2.2902E-2	6.1338E-1	-3.3900E+2
2.4785E-2	6.1290E-1	-6.2800E+2
2.6667E-2	6.1387E-1	-8.8300E+2
2.8550E-2	6.1314E-1	-1.6700E+2
3.0432E-2	6.1484E-1	-5.8300E+2
3.2550E-2	6.1387E-1	-7.1900E+2
3.4432E-2	6.1338E-1	-3.4300E+2
3.6315E-2	6.1435E-1	-8.2500E+2
3.8197E-2	6.1411E-1	-5.5900E+2
4.0080E-2	6.1338E-1	-3.7200E+2
4.1962E-2	6.1484E-1	-3.9400E+2
4.4080E-2	6.1265E-1	-7.6200E+2
4.5963E-2	6.1338E-1	-6.6000E+1
4.7845E-2	6.1362E-1	-1.1700E+2
4.9728E-2	6.1338E-1	-1.6300E+2
5.1610E-2	6.1411E-1	-3.4500E+2
5.3728E-2	6.1460E-1	-5.7300E+2
5.5610E-2	6.1435E-1	-6.2300E+2
5.7493E-2	6.1557E-1	-1.3000E+2
5.9375E-2	6.1265E-1	-8.2000E+1
6.1258E-2	6.1484E-1	-6.3300E+2
6.3140E-2	6.1484E-1	6.9000E+1
6.5258E-2	6.1508E-1	-4.6700E+2
6.7141E-2	6.1435E-1	-6.9100E+2
6.9023E-2	6.1387E-1	-1.8700E+2
7.0906E-2	6.1314E-1	-6.5500E+2
7.2788E-2	6.1484E-1	-3.1900E+2
7.4906E-2	6.1241E-1	-2.2000E+2
7.6788E-2	6.1460E-1	-5.8800E+2
7.8671E-2	6.1460E-1	-5.9300E+2
8.0553E-2	6.1362E-1	1.2100E+2
8.2436E-2	6.1435E-1	3.3000E+1
8.4318E-2	6.1338E-1	-1.0200E+2
8.6436E-2	6.1484E-1	-3.8300E+2
8.8319E-2	6.1265E-1	-4.6000E+1
9.0201E-2	6.1484E-1	8.7000E+1
9.2084E-2	6.1460E-1	-6.6600E+2
9.3966E-2	6.1508E-1	1.0200E+2
9.6084E-2	6.1338E-1	-6.3000E+2
9.7966E-2	6.1460E-1	-3.2500E+2
9.9849E-2	6.1387E-1	3.4000E+1
1.0173E-1	6.1508E-1	-2.0300E+2
1.0361E-1	6.1435E-1	4.4000E+1
1.0550E-1	6.1484E-1	-3.2100E+2
1.0761E-1	6.1533E-1	-5.8200E+2
1.0950E-1	6.1411E-1	-5.3800E+2
1.1138E-1	6.1411E-1	3.2600E+2
1.1326E-1	6.1484E-1	9.9000E+1
1.1514E-1	6.1338E-1	1.3800E+2
1.1726E-1	6.1338E-1	-1.9100E+2
1.1914E-1	6.1557E-1	7.4000E+1
1.2103E-1	6.1387E-1	-3.4000E+2
1.2291E-1	6.1290E-1	3.1000E+1
1.2479E-1	6.1411E-1	1.6300E+2
1.2667E-1	6.1435E-1	-3.9400E+2
1.2879E-1	6.1387E-1	-1.4800E+2
1.3067E-1	6.1508E-1	-6.7500E+2
1.3256E-1	6.1241E-1	-1.0290E+3
