Aux out [V]	Aux in [V]	PDH out [a.u.]
6.7813E-1	5.2763E-1	-1.1580E+3
6.7813E-1	5.2593E-1	-8.2900E+2
6.7825E-1	5.2641E-1	-1.0770E+3
6.7836E-1	5.2738E-1	-1.4190E+3
6.7836E-1	5.2690E-1	-3.9800E+2
6.7848E-1	5.2714E-1	-1.2210E+3
6.7848E-1	5.2787E-1	-1.0060E+3
6.7860E-1	5.2860E-1	-1.0830E+3
6.7860E-1	5.2933E-1	-1.6640E+3
6.7872E-1	5.2811E-1	-7.8100E+2
6.7883E-1	5.2860E-1	-9.7900E+2
6.7883E-1	5.3030E-1	-1.4610E+3
6.7895E-1	5.2908E-1	-1.1280E+3
6.7895E-1	5.2763E-1	-1.2160E+3
6.7907E-1	5.3103E-1	-1.1940E+3
6.7907E-1	5.3127E-1	-2.0530E+3
6.7919E-1	5.2908E-1	-1.0980E+3
6.7930E-1	5.3127E-1	-9.2900E+2
6.7930E-1	5.3176E-1	-4.5300E+2
6.7942E-1	5.3394E-1	-6.4300E+2
6.7942E-1	5.3273E-1	-3.2200E+2
6.7954E-1	5.3346E-1	-5.6200E+2
