Aux out [V]	Aux in [V]	PDH out [a.u.]
-2.6065E-1	1.7756E-1	8.6700E+2
-2.6030E-1	1.7562E-1	1.2400E+2
-2.5994E-1	1.7464E-1	9.1000E+1
-2.5971E-1	1.7392E-1	-5.8000E+1
-2.5947E-1	1.7392E-1	1.2000E+1
-2.5912E-1	1.7173E-1	6.7000E+1
-2.5888E-1	1.7100E-1	-5.5000E+1
-2.5853E-1	1.6881E-1	4.0600E+2
-2.5830E-1	1.6954E-1	-1.8700E+2
-2.5794E-1	1.6881E-1	7.6000E+1
-2.5771E-1	1.6784E-1	5.8000E+2
-2.5747E-1	1.6784E-1	-6.9600E+2
-2.5712E-1	1.6930E-1	2.8900E+2
-2.5688E-1	1.6760E-1	-1.6300E+2
-2.5653E-1	1.6760E-1	-8.2000E+1
-2.5630E-1	1.6687E-1	-2.1000E+1
-2.5594E-1	1.6590E-1	-2.1800E+2
-2.5571E-1	1.6784E-1	-5.1000E+1
-2.5535E-1	1.6687E-1	-2.8800E+2
-2.5512E-1	1.6663E-1	-4.4400E+2
-2.5488E-1	1.6566E-1	-7.5000E+1
-2.5453E-1	1.6663E-1	8.8000E+1
-2.5430E-1	1.6590E-1	-7.8000E+1
-2.5394E-1	1.6639E-1	1.5900E+2
-2.5371E-1	1.6590E-1	-3.0000E+1
-2.5335E-1	1.6517E-1	-2.6600E+2
-2.5312E-1	1.6639E-1	1.1700E+2
-2.5288E-1	1.6711E-1	-2.2000E+1
-2.5253E-1	1.6711E-1	-7.7300E+2
-2.5230E-1	1.6663E-1	-3.2600E+2
-2.5194E-1	1.6784E-1	-6.2100E+2
-2.5171E-1	1.6930E-1	-4.2200E+2
-2.5135E-1	1.7052E-1	-5.2400E+2
-2.5112E-1	1.7003E-1	-8.8300E+2
-2.5088E-1	1.7246E-1	-1.0790E+3
-2.5053E-1	1.7440E-1	-3.2100E+2
-2.5029E-1	1.7440E-1	-4.9400E+2
-2.4994E-1	1.7197E-1	5.4800E+2
-2.4971E-1	1.6979E-1	1.0400E+3
-2.4935E-1	1.7052E-1	2.3900E+2
-2.4912E-1	1.7052E-1	4.5400E+2
-2.4877E-1	1.6906E-1	0.0000E+0
-2.4853E-1	1.6930E-1	-5.9200E+2
-2.4829E-1	1.6687E-1	2.9400E+2
-2.4794E-1	1.6857E-1	-1.4700E+2
-2.4759E-1	1.7003E-1	5.7800E+2
-2.4735E-1	1.6930E-1	-4.2700E+2
-2.4712E-1	1.6784E-1	-1.5100E+2
-2.4677E-1	1.6833E-1	-3.1400E+2
-2.4653E-1	1.7003E-1	-4.5100E+2
-2.4629E-1	1.6954E-1	-3.7000E+2
-2.4594E-1	1.7027E-1	-1.8600E+2
-2.4559E-1	1.7003E-1	3.2500E+2
-2.4535E-1	1.7003E-1	-9.6000E+1
-2.4512E-1	1.7052E-1	3.1100E+2
-2.4477E-1	1.7052E-1	-1.9800E+2
-2.4453E-1	1.7173E-1	-5.1600E+2
-2.4418E-1	1.7173E-1	-1.3100E+2
-2.4394E-1	1.7052E-1	-4.2500E+2
-2.4359E-1	1.7173E-1	-6.4600E+2
-2.4335E-1	1.7222E-1	-4.3600E+2
-2.4312E-1	1.7173E-1	5.8000E+1
-2.4276E-1	1.7197E-1	-4.7500E+2
-2.4253E-1	1.7343E-1	-3.0000E+2
-2.4218E-1	1.7367E-1	-6.2900E+2
-2.4194E-1	1.7440E-1	-4.4500E+2
